ID,Prompt,Background,Foreground,Music,Variable,Type,Space,Short Answer,Choice 1,Choice 2,Choice 3,Choice 4
Begin,"MURICAN TRAILS _Version
An APUSH project by Vritti, Yingjia, Xing, and Andre",,,,,,Title,,,,,
Title,,title,,wedidntstartthefire,,,Role,,,,,
Role,"Many kinds of people have done a road trip across America. You may:
1. Be a middling history student with illusions of grandeur
2. ~Be a recent graduate ready to gamble~ AGE RESTRICTED
3. ~Be but a humble public school teacher~ AGE RESTRICTED",,,,MainCharacter,MC,,,Vritti,,,
Vritti,"What is the nickname of the first leader?
Vritti the",,vritti,,Vritti,SA,,Yingjia,,,,
Yingjia,"What is the nickname of the second in command?
Yingjia the",,yingjia,,Yingjia,SA,,Xing,,,,
Xing,"What is the nickname of the third wheel?
Xing the",,xing,,Xing,SA,,Andre,,,,
Andre,"What is the nickname of the fourth student?
Andre the",,andre,,Andre,SA,,Buy0,,,,
Buy0,"Before leaving Arcadia you should buy equipment and supplies. You have $_Money in cash, but you don't have to spend it all now.",,suitcases,,,,Buy1,,,,,
Buy1,You can buy whatever you need at Paul's Lost and Found.,desk,paul,,,,Buy2,,,,,
Buy2,"""Hello, I'm Paul and I want to find every object in my Lost 'n' Found a new owner.",desk,paul,,,,Buy3,,,,,
Buy3,"""Some may accuse my sale tactics of being 'heartless', 'unethical', or God-forbid, 'immoral'. But you know what's the answer to every question in the world?
",desk,paul,,,SA,,Buy4,,,,
Buy4,"""That's goddamn right.",desk,paul,,,,Buy5,,,,,
Buy5,"""...So! I heard you're going across America! Here, I've just what you need.""",desk,paul,,,,Buy6,,,,,
Buy6,"1. Water bottle, very sturdy, lightly used: $5.00
2. Nathan's food, without cheese: $25.00
3. Keys to the schoolbus: $99.00",desk,paul,,,PURCHASE,Buy7,,5,25,99,
Buy7,You leave Paul's Lost and Found for the road.,desk,paul,,,,Steal0,,,,,
Steal0,"You spot a schoolbus sitting on Campus Drive.
1. Try your keys on the schoolbus.
2. Give Vritti the _Vritti your keys to try on the schoolbus.",road,bus,,,MC,,,Steal1,Steal1,,
Steal1,"The keys work! You all hop on the schoolbus.
1. Drive the schoolbus
2. Not not drive the schoolbus",road,bus,teamamerica,,MC,,,Autocracy,Autocracy,,
Autocracy,"Xing wants to go to Yosemite, but everyone else wants to go to Las Vegas.
1. Support Xing's autocracy
2. What the heck is an autocracy",road,map,,,MC,,,YosemiteTrip0,Depart,,
Depart,"An autocracy is a system of government where one person holds all the power.
1. Ok sounds good. I trust Xing.
2. Nah too totalitarian for me. let's go to Las Vegas.",road,map,,,MC,,,YosemiteTrip0,FauxTrip0,,
,,,,,,,,,,,,
FauxTrip0,You embark on your journey to Las Vegas!,road,bus,hotelcalifornia,,TRIP,FauxTrip1,,,,,
